ID,LAeq,LCeq-Aeq,LA5-95,Loudness,Sharpness,Green,Water,Sky,Grey,Luminance,Fascination,Being_away_to,Being_away_from,Compatibility,Extent_Coherence,Extent_Scope,Positive,Negative,Valence,Arousal,Dominance
9,70.6,11.5,17.4,59.6,1.4,3,0,25,70,129,-2,2.666666667,-1,2.25,2.333333333,1,35,21,-4,6,8
19,70.6,11.5,17.4,59.6,1.4,3,0,25,70,129,-2,4.333333333,-2.333333333,3,1,1,30,23,-6,3,9
20,70.6,11.5,17.4,59.6,1.4,3,0,25,70,129,-1.4,3.333333333,-2.666666667,3.75,3.333333333,2,25,5,0,4,6
21,70.6,11.5,17.4,59.6,1.4,3,0,25,70,129,-1.2,2.333333333,-0.666666667,1.75,1.666666667,2,15,1,-2,0,5
22,70.6,11.5,17.4,59.6,1.4,3,0,25,70,129,2.4,3.666666667,-0.333333333,3.75,4,5,20,0,1,3,2
23,70.6,11.5,17.4,59.6,1.4,3,0,25,70,129,1,4.666666667,1,4,5.666666667,3,27,-10,-1,-2,3
24,70.6,11.5,17.4,59.6,1.4,3,0,25,70,129,1,4,0.666666667,3.75,5.333333333,6,16,-6,0,3,8
25,70.6,11.5,17.4,59.6,1.4,3,0,25,70,129,0.4,3.333333333,-3.333333334,3.25,3,3,17,1,0,1,5
26,70.6,11.5,17.4,59.6,1.4,3,0,25,70,129,-0.8,2.666666667,-3,4.75,5.666666667,6,33,10,0,-3,3
27,70.6,11.5,17.4,59.6,1.4,3,0,25,70,129,-0.2,3,-1.333333334,3.75,4.666666667,1,20,-5,-1,-1,5
28,70.6,11.5,17.4,59.6,1.4,3,0,25,70,129,2.6,3.333333333,-0.666666667,3,5,4,16,-6,2,-1,5
31,70.6,11.5,17.4,59.6,1.4,3,0,25,70,129,3.2,3.666666667,-2,2,3.333333333,1,19,-2,1,0,6
33,70.6,11.5,17.4,59.6,1.4,3,0,25,70,129,3.2,1.666666667,1.333333333,4.25,5,6,17,-7,1,2,1
34,70.6,11.5,17.4,59.6,1.4,3,0,25,70,129,-2.4,4.333333333,-1.666666667,3.25,3.333333333,1,20,13,-3,4,7
35,70.6,11.5,17.4,59.6,1.4,3,0,25,70,129,-2.4,2.666666667,-3,3.25,4,2,19,0,-2,5,6
36,70.6,11.5,17.4,59.6,1.4,3,0,25,70,129,-1.6,3.666666667,-2,3,3,3,20,5,-2,3,5
46,70.6,11.5,17.4,59.6,1.4,3,0,25,70,129,0.8,2.333333333,-1,2.5,2,6,16,-2,-1,-2,6
47,70.6,11.5,17.4,59.6,1.4,3,0,25,70,129,0,3.333333333,1.666666667,4,4,2,20,-2,1,1,4
49,70.6,11.5,17.4,59.6,1.4,3,0,25,70,129,0.2,4.666666667,0.333333334,4,4,4,31,1,2,2,5
50,70.6,11.5,17.4,59.6,1.4,3,0,25,70,129,-1.4,2.666666667,0,2.5,3,2,11,8,-2,-1,7
51,70.6,11.5,17.4,59.6,1.4,3,0,25,70,129,-0.4,5,0,3,5.666666667,2,25,0,-2,1,5
52,70.6,11.5,17.4,59.6,1.4,3,0,25,70,129,-1.8,3.333333333,-1.666666666,3.25,3.666666667,3,18,3,-1,0,4
53,70.6,11.5,17.4,59.6,1.4,3,0,25,70,129,-2.4,2,-2.333333333,1.5,4,1,10,1,-3,-2,3
54,70.6,11.5,17.4,59.6,1.4,3,0,25,70,129,-1.8,4,0,2.75,4.333333333,3,22,0,-3,-1,8
55,70.6,11.5,17.4,59.6,1.4,3,0,25,70,129,-2.4,3,-2.333333333,2.75,3,2,11,0,0,0,2
57,70.6,11.5,17.4,59.6,1.4,3,0,25,70,129,0.4,2.333333333,-0.333333333,3,3.333333333,1,16,-1,1,2,5
58,70.6,11.5,17.4,59.6,1.4,3,0,25,70,129,-0.4,3,-2.333333333,4.25,3.666666667,1,25,0,0,1,3
60,70.6,11.5,17.4,59.6,1.4,3,0,25,70,129,3.2,4.333333333,3,5,6,7,14,-1,3,0,7
62,70.6,11.5,17.4,59.6,1.4,3,0,25,70,129,-0.4,2.666666667,-3,2.75,3.333333333,1,15,10,-1,0,6
63,70.6,11.5,17.4,59.6,1.4,3,0,25,70,129,-0.4,2.666666667,-0.666666667,4.75,3.666666667,1,27,8,0,0,5
64,70.6,11.5,17.4,59.6,1.4,3,0,25,70,129,1.8,3.333333333,-1,4,6,4,19,-1,1,0,9
67,70.6,11.5,17.4,59.6,1.4,3,0,25,70,129,-0.8,2.666666667,-0.333333333,2.75,2,1,12,-3,1,-3,2
68,70.6,11.5,17.4,59.6,1.4,3,0,25,70,129,-0.6,3,0,3.75,3,3,24,-7,-2,-1,5
70,70.6,11.5,17.4,59.6,1.4,3,0,25,70,129,-1.4,4,1,2.5,4.333333333,5,19,0,0,4,7
11,74.2,12.9,20.6,78.1,1.1,14,0,18,62,138,4.2,3.666666667,1,5.5,5.666666667,3,37,-7,6,2,5
12,74.2,12.9,20.6,78.1,1.1,14,0,18,62,138,0.6,3.333333333,-2.333333334,3.5,4,4,17,0,-2,3,4
13,74.2,12.9,20.6,78.1,1.1,14,0,18,62,138,3.2,3,0.333333333,5.75,5.333333333,7,14,-14,0,0,7
15,74.2,12.9,20.6,78.1,1.1,14,0,18,62,138,-2.8,2.333333333,-0.666666667,2.75,2.666666667,1,14,22,-3,6,8
16,74.2,12.9,20.6,78.1,1.1,14,0,18,62,138,-3.8,2.333333333,-3.666666667,2.25,1.666666667,3,13,5,-4,-1,4
17,74.2,12.9,20.6,78.1,1.1,14,0,18,62,138,-4.4,5,-4,2.5,1,1,23,21,-6,6,1
18,74.2,12.9,20.6,78.1,1.1,14,0,18,62,138,-2,3,-2.666666667,2.5,2.666666667,2,13,11,0,5,6
19,74.2,12.9,20.6,78.1,1.1,14,0,18,62,138,1.4,4.666666667,0,4.75,4.666666667,3,28,6,0,0,7
20,74.2,12.9,20.6,78.1,1.1,14,0,18,62,138,-2.4,4.333333333,-2.333333334,4,3,1,20,11,-3,5,7
21,74.2,12.9,20.6,78.1,1.1,14,0,18,62,138,-1.2,1,-0.333333334,2,1.333333333,1,11,0,-2,-2,3
22,74.2,12.9,20.6,78.1,1.1,14,0,18,62,138,0.4,2.666666667,-2,3,2,6,17,7,-3,3,6
23,74.2,12.9,20.6,78.1,1.1,14,0,18,62,138,-0.4,3.666666667,0,4,3,1,23,-10,-2,-2,6
24,74.2,12.9,20.6,78.1,1.1,14,0,18,62,138,0.8,3,0.666666667,3.75,5.666666667,7,19,-5,0,3,5
25,74.2,12.9,20.6,78.1,1.1,14,0,18,62,138,-0.2,3.333333333,-3,3.25,3,5,20,4,-1,2,2
26,74.2,12.9,20.6,78.1,1.1,14,0,18,62,138,-1,3.333333333,-3,3.25,4.333333333,5,26,13,-1,0,7
27,74.2,12.9,20.6,78.1,1.1,14,0,18,62,138,0.2,3,-1,4.75,5,2,15,-5,1,-2,2
37,74.2,12.9,20.6,78.1,1.1,14,0,18,62,138,3,4.666666667,0.333333333,4.5,6,4,39,1,2,2,1
38,74.2,12.9,20.6,78.1,1.1,14,0,18,62,138,-1,2.333333333,-1.666666667,4,5.666666667,5,24,4,-5,6,4
40,74.2,12.9,20.6,78.1,1.1,14,0,18,62,138,-3.6,3,-4,2.5,4,2,14,6,-4,3,7
42,74.2,12.9,20.6,78.1,1.1,14,0,18,62,138,1.6,6,0,4.5,5.666666667,1,40,-1,1,1,5
43,74.2,12.9,20.6,78.1,1.1,14,0,18,62,138,0.2,3.333333333,-1,3,3.666666667,4,20,4,-1,1,5
44,74.2,12.9,20.6,78.1,1.1,14,0,18,62,138,-0.8,3,-0.666666667,2.75,5,5,14,3,0,2,5
45,74.2,12.9,20.6,78.1,1.1,14,0,18,62,138,-2.4,4,-1.333333333,3.25,2.666666667,2,13,-7,0,0,4
46,74.2,12.9,20.6,78.1,1.1,14,0,18,62,138,0.4,2.666666667,-1.333333333,2.5,2,4,15,-3,-1,-4,3
47,74.2,12.9,20.6,78.1,1.1,14,0,18,62,138,-1.8,2,0,1.75,2,2,17,0,0,1,6
49,74.2,12.9,20.6,78.1,1.1,14,0,18,62,138,-1.8,4.333333333,-0.333333333,2.75,3.666666667,2,22,4,-2,2,3
50,74.2,12.9,20.6,78.1,1.1,14,0,18,62,138,-1.4,2.333333333,0,2.75,3.333333333,2,12,3,-1,-2,6
51,74.2,12.9,20.6,78.1,1.1,14,0,18,62,138,-2,3,-1,3.25,5,5,26,4,-3,1,5
52,74.2,12.9,20.6,78.1,1.1,14,0,18,62,138,-2.6,3,-2,3,4.666666667,4,16,4,-1,0,4
53,74.2,12.9,20.6,78.1,1.1,14,0,18,62,138,-2.4,2,-0.333333333,1.25,3.333333333,1,12,1,-3,-2,3
54,74.2,12.9,20.6,78.1,1.1,14,0,18,62,138,-2.6,2.333333333,-1,3,2.333333333,2,24,16,-4,3,5
56,74.2,12.9,20.6,78.1,1.1,14,0,18,62,138,3.6,3,-0.333333333,4,7,7,37,-2,0,2,3
57,74.2,12.9,20.6,78.1,1.1,14,0,18,62,138,-0.4,2.666666667,0.666666667,2.25,3.333333333,1,12,0,0,2,5
59,74.2,12.9,20.6,78.1,1.1,14,0,18,62,138,-1.2,2.666666667,0,3.5,4.666666667,5,16,0,-2,-3,1
60,74.2,12.9,20.6,78.1,1.1,14,0,18,62,138,-1.8,2.333333333,-2.333333333,3,2,1,31,17,-2,6,2
61,74.2,12.9,20.6,78.1,1.1,14,0,18,62,138,0.2,4,-1,4,4.666666667,3,21,-18,0,6,5
63,74.2,12.9,20.6,78.1,1.1,14,0,18,62,138,-1.8,2.666666667,-0.666666667,3,3.666666667,3,26,9,-2,2,7
65,74.2,12.9,20.6,78.1,1.1,14,0,18,62,138,2.2,3,0.333333333,3.75,4.333333333,1,23,1,-1,-2,5
69,74.2,12.9,20.6,78.1,1.1,14,0,18,62,138,0,2.333333333,-1,2.25,3,3,12,1,-1,-1,7
2,50.7,27.2,10.3,7.6,2,8,8,45,0,162,0.2,4.333333333,-0.333333333,3.75,4,1,16,0,-1,0,7
3,50.7,27.2,10.3,7.6,2,8,8,45,0,162,1.8,5.333333333,3.333333333,4,3.333333333,6,21,-6,2,1,1
5,50.7,27.2,10.3,7.6,2,8,8,45,0,162,0.2,2,2.333333333,4.75,6.333333333,3,29,0,1,-1,6
6,50.7,27.2,10.3,7.6,2,8,8,45,0,162,0.8,3.333333333,0,5,4.333333333,2,13,-16,0,3,6
11,50.7,27.2,10.3,7.6,2,8,8,45,0,162,3,4.666666667,3.333333333,5,6.333333333,4,11,-8,6,-4,8
12,50.7,27.2,10.3,7.6,2,8,8,45,0,162,1.6,2.333333333,1.666666666,4,5,6,19,-8,1,0,2
13,50.7,27.2,10.3,7.6,2,8,8,45,0,162,5,3,2.333333333,5.5,7,4,17,-14,6,-6,7
15,50.7,27.2,10.3,7.6,2,8,8,45,0,162,0.8,3.666666667,3.333333333,4,4.666666667,5,12,-1,3,3,3
19,50.7,27.2,10.3,7.6,2,8,8,45,0,162,2,5,2.666666667,5,6.333333333,6,12,-4,1,-4,2
20,50.7,27.2,10.3,7.6,2,8,8,45,0,162,2.6,3,1.333333333,4.75,5.333333333,2,20,-6,2,-2,5
21,50.7,27.2,10.3,7.6,2,8,8,45,0,162,-0.2,1.666666667,1.666666666,1.75,1,1,12,-1,0,-4,3
22,50.7,27.2,10.3,7.6,2,8,8,45,0,162,2.6,3.333333333,1.333333334,4,3,5,20,0,2,0,2
23,50.7,27.2,10.3,7.6,2,8,8,45,0,162,2.2,3.666666667,1,4.75,6.333333333,5,24,-11,0,-4,2
24,50.7,27.2,10.3,7.6,2,8,8,45,0,162,2.4,4.666666667,3.666666667,4,5.333333333,6,17,-6,2,3,7
28,50.7,27.2,10.3,7.6,2,8,8,45,0,162,-0.4,2.666666667,-1,2.75,1.333333333,1,18,0,0,-3,2
31,50.7,27.2,10.3,7.6,2,8,8,45,0,162,3.2,5.333333333,1.666666667,3.75,4.666666667,1,11,-4,3,-2,7
33,50.7,27.2,10.3,7.6,2,8,8,45,0,162,3.6,3,5.333333333,5.25,6.333333333,5,19,-7,2,0,8
37,50.7,27.2,10.3,7.6,2,8,8,45,0,162,1.6,4,3.333333333,4.25,4.333333333,5,21,2,1,1,1
38,50.7,27.2,10.3,7.6,2,8,8,45,0,162,3.2,4.666666667,4,5.25,6.333333333,7,25,0,1,5,3
40,50.7,27.2,10.3,7.6,2,8,8,45,0,162,0.4,4.666666667,0.333333334,4.25,5.666666667,5,15,-1,0,0,3
42,50.7,27.2,10.3,7.6,2,8,8,45,0,162,3,5.666666667,1.333333333,5,5.666666667,6,27,-3,2,-3,1
46,50.7,27.2,10.3,7.6,2,8,8,45,0,162,2.4,3,1,3.25,4,4,13,-3,1,-4,3
47,50.7,27.2,10.3,7.6,2,8,8,45,0,162,0,4,2,4,4,4,12,-8,2,-2,3
49,50.7,27.2,10.3,7.6,2,8,8,45,0,162,0.2,5,2.666666667,5,6,4,19,0,0,0,7
50,50.7,27.2,10.3,7.6,2,8,8,45,0,162,2.2,4.666666667,4.333333333,4.25,5.666666667,6,17,-2,2,-5,3
51,50.7,27.2,10.3,7.6,2,8,8,45,0,162,2,5,2.666666667,5.5,5.666666667,3,18,0,0,-1,3
55,50.7,27.2,10.3,7.6,2,8,8,45,0,162,-1,3.666666667,-0.333333333,2.75,3.666666667,5,15,0,0,-1,2
56,50.7,27.2,10.3,7.6,2,8,8,45,0,162,1.6,5.666666667,4,3.75,5.333333333,7,23,-4,1,-1,8
58,50.7,27.2,10.3,7.6,2,8,8,45,0,162,1.8,3,0.666666667,4,5,1,12,0,1,-1,3
60,50.7,27.2,10.3,7.6,2,8,8,45,0,162,4.2,4.666666667,3.666666667,5.25,7,6,12,-1,5,1,8
61,50.7,27.2,10.3,7.6,2,8,8,45,0,162,3.2,4,1.666666667,5,5.666666667,4,16,-25,4,2,9
62,50.7,27.2,10.3,7.6,2,8,8,45,0,162,1,4,0.333333334,3.5,3.666666667,2,19,-1,0,0,2
63,50.7,27.2,10.3,7.6,2,8,8,45,0,162,2.2,2.333333333,4.333333333,4.75,4.666666667,6,16,-11,4,-4,1
64,50.7,27.2,10.3,7.6,2,8,8,45,0,162,3.6,4,0.333333333,5.25,6,5,17,-1,2,0,9
65,50.7,27.2,10.3,7.6,2,8,8,45,0,162,3.4,5,2.333333333,5.25,6,1,14,-3,3,-6,1
66,50.7,27.2,10.3,7.6,2,8,8,45,0,162,2.6,4.333333333,3.333333334,5,4.333333333,5,19,-6,3,0,6
67,50.7,27.2,10.3,7.6,2,8,8,45,0,162,1.6,2.666666667,3.333333334,4.25,5,3,10,2,0,-2,1
69,50.7,27.2,10.3,7.6,2,8,8,45,0,162,2,3,1.666666667,3,4,4,14,0,1,-4,1
70,50.7,27.2,10.3,7.6,2,8,8,45,0,162,0.2,4.666666667,4.666666667,3.25,5.666666667,5,12,0,1,1,5
2,45.4,16.4,7.1,20.8,2.1,10,1,47,0,149,0,4,0,3.75,5,2,14,0,0,0,7
3,45.4,16.4,7.1,20.8,2.1,10,1,47,0,149,2.2,3.666666667,2.333333333,5.5,6,7,16,-6,0,-2,1
7,45.4,16.4,7.1,20.8,2.1,10,1,47,0,149,2,4.333333333,3,4.5,5.333333333,6,24,-18,0,-4,6
8,45.4,16.4,7.1,20.8,2.1,10,1,47,0,149,-1,3.666666667,2,3.25,4.666666667,3,11,-1,0,0,7
9,45.4,16.4,7.1,20.8,2.1,10,1,47,0,149,-0.8,3.333333333,-2,4,3.333333333,5,17,2,-3,0,3
11,45.4,16.4,7.1,20.8,2.1,10,1,47,0,149,-0.8,3,-1,2.75,4,1,18,10,-1,3,2
12,45.4,16.4,7.1,20.8,2.1,10,1,47,0,149,0.6,2,-0.333333334,2.5,3.666666667,7,20,-4,-1,1,5
16,45.4,16.4,7.1,20.8,2.1,10,1,47,0,149,1.8,5,1.333333333,5.5,5.666666667,7,25,0,2,0,5
17,45.4,16.4,7.1,20.8,2.1,10,1,47,0,149,-1.2,4.333333333,2,5.75,6.666666667,7,23,0,-1,0,1
18,45.4,16.4,7.1,20.8,2.1,10,1,47,0,149,0.2,4.333333333,0.666666666,4.75,5.333333333,2,10,0,3,1,2
19,45.4,16.4,7.1,20.8,2.1,10,1,47,0,149,2.4,4.666666667,3.666666667,5.5,6.666666667,6,17,-4,2,-4,3
20,45.4,16.4,7.1,20.8,2.1,10,1,47,0,149,1.8,4,1.333333333,4.75,5.333333333,4,24,-4,3,-1,5
21,45.4,16.4,7.1,20.8,2.1,10,1,47,0,149,-1.2,1.666666667,1.666666666,2,1,1,11,0,0,0,5
25,45.4,16.4,7.1,20.8,2.1,10,1,47,0,149,1.4,4.666666667,0.666666666,4.25,5.666666667,6,17,-2,3,-1,9
26,45.4,16.4,7.1,20.8,2.1,10,1,47,0,149,-0.4,3.666666667,-0.666666666,4.25,5,5,25,9,0,0,7
27,45.4,16.4,7.1,20.8,2.1,10,1,47,0,149,1.2,3.666666667,1.666666666,3.75,4.333333333,1,16,-5,2,-4,3
28,45.4,16.4,7.1,20.8,2.1,10,1,47,0,149,1.6,4,2.666666667,2.25,6,6,16,-6,2,0,6
34,45.4,16.4,7.1,20.8,2.1,10,1,47,0,149,0,3.666666667,1.333333333,2.75,7,6,15,-1,0,-2,3
35,45.4,16.4,7.1,20.8,2.1,10,1,47,0,149,0.6,4.666666667,2,4.25,6,7,28,0,2,2,1
36,45.4,16.4,7.1,20.8,2.1,10,1,47,0,149,0,4.333333333,0.333333333,4,5,5,12,0,-2,1,3
37,45.4,16.4,7.1,20.8,2.1,10,1,47,0,149,0.2,2.333333333,0.666666666,3.75,3,3,22,0,1,2,1
38,45.4,16.4,7.1,20.8,2.1,10,1,47,0,149,0.6,4.666666667,3.333333333,1.5,3,7,13,0,-3,1,4
43,45.4,16.4,7.1,20.8,2.1,10,1,47,0,149,1.6,4.666666667,2,3.25,5.333333333,6,20,-2,1,0,2
44,45.4,16.4,7.1,20.8,2.1,10,1,47,0,149,0,4.333333333,3.333333333,1.75,7,7,10,0,2,0,1
45,45.4,16.4,7.1,20.8,2.1,10,1,47,0,149,-2,3.666666667,-1.333333333,2,1.333333333,2,15,-8,-2,0,3
46,45.4,16.4,7.1,20.8,2.1,10,1,47,0,149,1.4,2.333333333,2,3.75,3.333333333,7,12,-3,-1,-4,3
47,45.4,16.4,7.1,20.8,2.1,10,1,47,0,149,1,4,2,3.5,3.333333333,4,13,-8,3,-2,3
52,45.4,16.4,7.1,20.8,2.1,10,1,47,0,149,0.6,4,1.333333334,4,4.666666667,5,20,-2,1,-1,6
53,45.4,16.4,7.1,20.8,2.1,10,1,47,0,149,1.4,5,2,4.75,5,6,13,0,-1,-3,2
54,45.4,16.4,7.1,20.8,2.1,10,1,47,0,149,1,4,4,4.75,5,5,13,0,-1,-2,8
