ID	Fascination	Being_away_to	Being_away_from	Compatibility	Extent_Coherence	Extent_Scope	Positive	Negative	Valence	Arousal	Dominance
25	2.4	3.333333333	1.666666667	3.25	3	5	20	16	4	6	2
26	4.2	3.333333333	2.333333333	3.25	4.333333333	5	26	28	5	6	7
27	3	3	2.666666667	4.75	5	2	15	10	7	3	2
37	5.4	4.666666667	2	4.5	6	4	39	12	8	3	1
38	1.6	2.333333333	1	4	5.666666667	5	24	14	3	8	4
40	1	3	1.333333333	2.5	4	2	14	17	3	6	7
42	4	6	3.666666667	4.5	5.666666667	1	40	22	7	8	5
43	2.6	3.333333333	1.666666667	3	3.666666667	4	20	16	4	5	5
44	1.2	3	1	2.75	5	5	14	13	5	3	5
45	1.6	4	2.666666667	3.25	2.666666667	2	13	21	4	3	4
46	1.4	2.666666667	1.666666667	2.5	2	4	15	10	5	1	3
47	2.2	2	2	1.75	2	2	17	18	5	6	6
49	3	4.333333333	3	2.75	3.666666667	2	22	14	5	5	3
50	1	2.333333333	1	2.75	3.333333333	2	12	15	4	5	6
51	1.8	3	1	3.25	5	5	26	14	4	3	5
52	1.8	3	1.333333333	3	4.666666667	4	16	16	5	3	4
53	1.2	2	3	1.25	3.333333333	1	12	11	4	3	3
54	1.6	2.333333333	1	3	2.333333333	2	24	26	4	6	5
56	5.8	3	2	4	7	7	37	12	7	5	3
57	2.2	2.666666667	2	2.25	3.333333333	1	12	11	5	3	5
59	3.2	2.666666667	3	3.5	4.666666667	5	16	10	5	1	1
60	1	2.333333333	1	3	2	1	31	28	2	7	2
61	1.8	4	2	4	4.666666667	3	21	17	5	7	5
63	1	2.666666667	1	3	3.666666667	3	26	31	1	9	7
65	5.4	3	3	3.75	4.333333333	1	23	14	5	5	5
69	1.4	2.333333333	1.333333333	2.25	3	3	12	11	4	4	7
2	4.4	4.333333333	4	3.75	4	1	16	10	8	1	7
3	4.6	5.333333333	6.333333333	4	3.333333333	6	21	10	7	5	1
5	5.6	2	6	4.75	6.333333333	3	29	10	8	2	6
6	4.8	3.333333333	4	5	4.333333333	2	13	10	5	6	6
10	5.2	3	5.333333333	6	5.333333333	6	30	11	8	7	8
11	5.8	4.666666667	6.333333333	5	6.333333333	4	11	10	9	1	8
12	3.6	2.333333333	5.333333333	4	5	6	19	10	8	3	2
13	6.8	3	5	5.5	7	4	17	10	9	1	7
15	4.6	3.666666667	5	4	4.666666667	5	12	10	7	5	3
19	5	5	6	5	6.333333333	6	12	10	8	1	2
20	6.8	3	5	4.75	5.333333333	2	20	10	7	1	5
21	2	1.666666667	3.333333333	1.75	1	1	12	10	5	1	3
22	4.8	3.333333333	4.666666667	4	3	5	20	10	8	2	2
23	6.2	3.666666667	4.666666667	4.75	6.333333333	5	24	10	7	2	2
24	5.4	4.666666667	5	4	5.333333333	6	17	10	7	5	7
28	1.4	2.666666667	1	2.75	1.333333333	1	18	16	5	3	2
31	4.2	5.333333333	5.666666667	3.75	4.666666667	1	11	10	7	4	7
33	5.6	3	6.333333333	5.25	6.333333333	5	19	10	7	3	8
37	4	4	5	4.25	4.333333333	5	21	13	7	2	1
38	5.8	4.666666667	6.666666667	5.25	6.333333333	7	25	10	9	7	3
40	5	4.666666667	5.666666667	4.25	5.666666667	5	15	10	7	3	3
42	5.4	5.666666667	5	5	5.666666667	6	27	20	8	4	1
46	3.4	3	4	3.25	4	4	13	10	7	1	3
47	4	4	4	4	4	4	12	10	7	3	3
49	5	5	6	5	6	4	19	10	7	3	7
50	4.6	4.666666667	5.333333333	4.25	5.666666667	6	17	10	7	2	3
51	5.8	5	4.666666667	5.5	5.666666667	3	18	10	7	1	3
55	2.4	3.666666667	3.666666667	2.75	3.666666667	5	15	10	5	1	2
56	3.8	5.666666667	6.333333333	3.75	5.333333333	7	23	10	8	2	8
58	4.4	3	5	4	5	1	12	10	7	2	3
60	7	4.666666667	7	5.25	7	6	12	10	9	2	8
61	4.8	4	4.666666667	5	5.666666667	4	16	10	9	3	9
62	3.8	4	4.666666667	3.5	3.666666667	2	19	10	5	6	2
63	5	2.333333333	6	4.75	4.666666667	6	16	11	7	3	1
64	5.8	4	4.333333333	5.25	6	5	17	10	8	2	9
65	6.6	5	5	5.25	6	1	14	10	9	1	1
66	4.6	4.333333333	5.666666667	5	4.333333333	5	19	10	7	5	6
67	3.6	2.666666667	4.666666667	4.25	5	3	10	20	3	4	1
69	3.4	3	4	3	4	4	14	10	6	1	1
70	4.4	4.666666667	6	3.25	5.666666667	5	12	10	6	2	5
2	4.2	4	4.333333333	3.75	5	2	14	10	9	1	7
3	5	3.666666667	5.333333333	5.5	6	7	16	10	5	2	1
7	4.6	4.333333333	4.666666667	4.5	5.333333333	6	24	10	6	2	6
8	2.2	3.666666667	5	3.25	4.666666667	3	11	10	7	1	7
9	2.8	3.333333333	2.333333333	4	3.333333333	5	17	13	4	3	3
11	2	3	2	2.75	4	1	18	28	2	8	2
12	2.6	2	3.333333333	2.5	3.666666667	7	20	14	6	4	5
16	7	5	6.333333333	5.5	5.666666667	7	25	10	9	4	5
17	4.2	4.333333333	7	5.75	6.666666667	7	23	10	7	1	1
18	4	4.333333333	4.333333333	4.75	5.333333333	2	10	10	8	2	2
19	5.4	4.666666667	7	5.5	6.666666667	6	17	10	9	1	3
20	6	4	5	4.75	5.333333333	4	24	12	8	2	5
21	1	1.666666667	3.333333333	2	1	1	11	11	5	5	5
