0.2,-0.333333333,0,-1,0
-1.8,-1,-4,0,0
-4.2,-2,4,-3,3
-2.8,-3,-16,-4,-2
-0.4,0,-11,-4,-3
-2.2,-2,2,-3,1
-1.4,-2.666666666,19,-6,6
-100,-100,-100,-100,-100
4,0.333333333,-5,5,3
-0.8,-2,2,-2,2
4.4,2.333333333,-14,4,-5
-2.8,-0.666666667,12,-2,5
-3.4,-4,1,-2,1
-4,-4,7,-3,6
-2.4,-2.666666667,0,0,4
-0.4,-1,11,-2,-1
2,-2.666666667,-2,2,0
0.8,0,-7,1,3
-3.2,-2.666666667,12,-3,4
-3.2,-4,4,-1,5
-2,-2.666666667,5,-3,2
0.6,0.333333333,1,0,3
-0.4,-1.666666667,6,-5,5
-2.6,-3,5,-3,2
1.4,-0.666666667,-3,-1,-6
-0.2,-1.333333334,12,-1,3
-1,-0.666666667,2,0,5
-2,-2,-5,-1,0
-2.4,-2,6,0,1
0.4,-2.333333333,0,1,0
-1.4,0,0,-2,-3
1,-0.333333333,-21,-2,5
-1.2,-2.666666666,7,-2,-1
1.2,-2.333333333,-1,0,0
2.2,-1.666666667,5,-1,0
-0.8,-1.333333333,-3,-1,1
-0.8,-0.333333333,1,1,-3
0,-0.333333333,-6,-2,-2
0.4,-1.333333333,1,0,0
-0.2,1.666666667,0,0,4
1,-1.333333333,0,0,0
0,0,-3,0,-3
-4.4,-2.333333334,7,-4,4
-3,-3,-14,-2,0
-0.4,0.333333333,-9,-2,-3
-2.2,-2,2,-2,2
-2,-1,21,-4,6
-2,-2.333333333,23,-6,3
-1.4,-2.666666667,5,0,4
-1.2,-0.666666667,1,-2,0
2.4,-0.333333333,0,1,3
1,1,-10,-1,-2
1,0.666666667,-6,0,3
0.4,-3.333333334,1,0,1
-0.8,-3,10,0,-3
-0.2,-1.333333334,-5,-1,-1
2.6,-0.666666667,-6,2,-1
3.2,-2,-2,1,0
3.2,1.333333333,-7,1,2
-2.4,-1.666666667,13,-3,4
-2.4,-3,0,-2,5
-1.6,-2,5,-2,3
0.8,-1,-2,-1,-2
0,1.666666667,-2,1,1
0.2,0.333333334,1,2,2
-1.4,0,8,-2,-1
-0.4,0,0,-2,1
-1.8,-1.666666666,3,-1,0
-2.4,-2.333333333,1,-3,-2
-1.8,0,0,-3,-1
-2.4,-2.333333333,0,0,0
0.4,-0.333333333,-1,1,2
-0.4,-2.333333333,0,0,1
3.2,3,-1,3,0
-0.4,-3,10,-1,0
-0.4,-0.666666667,8,0,0
1.8,-1,-1,1,0
-0.8,-0.333333333,-3,1,-3
-0.6,0,-7,-2,-1
-1.4,1,0,0,4
-100,-100,-100,-100,-100
4.2,1,-7,6,2
0.6,-2.333333334,0,-2,3
3.2,0.333333333,-14,0,0
-2.8,-0.666666667,22,-3,6
-3.8,-3.666666667,5,-4,-1
-4.4,-4,21,-6,6
-2,-2.666666667,11,0,5
1.4,0,6,0,0
-2.4,-2.333333334,11,-3,5
-1.2,-0.333333334,0,-2,-2
0.4,-2,7,-3,3
-0.4,0,-10,-2,-2
0.8,0.666666667,-5,0,3
-0.2,-3,4,-1,2
-1,-3,13,-1,0
0.2,-1,-5,1,-2
3,0.333333333,1,2,2
-1,-1.666666667,4,-5,6
